ID,imedID,name,state,totpop2019
286,320001,Vitória,ES,2044912
287,320002,Venda Nova do Imigrante,ES,229281
288,320003,São Mateus,ES,292639
289,320004,Linhares,ES,353133
290,320005,Colatina,ES,322197
291,320006,Nova Venécia,ES,137910
292,320007,Cachoeiro de Itapemirim,ES,443541
293,320008,Alegre,ES,195037
361,410001,Curitiba,PR,3654960
362,410002,Paranaguá,PR,297029
363,410003,União da Vitória,PR,177311
364,410004,Guarapuava,PR,352169
365,410005,Pitanga,PR,74257
366,410006,Cascavel,PR,522858
367,410007,Foz do Iguaçu,PR,382020
368,410008,Toledo,PR,329485
369,410009,Francisco Beltrão,PR,276365
370,410010,Pato Branco,PR,267234
371,410011,Laranjeiras do Iguaçu,PR,106781
372,410012,Dois Vizinhos,PR,81779
373,410013,Marechal Rondon,PR,80863
374,410014,Maringá,PR,782238
375,410015,Campo Mourão,PR,311769
376,410016,Umuarama,PR,289023
377,410017,Paranavaí,PR,203355
378,410018,Cianorte,PR,165084
379,410019,Paranacity,PR,67891
380,410020,Loanda,PR,60507
381,410021,Londrina,PR,1094105
382,410022,Santo Antônio da Platina,PR,269949
383,410023,Apucarana,PR,231475
384,410024,Cornélio Procópio,PR,182066
385,410025,Ivaiporã,PR,132978
386,410026,Ibaiti,PR,59588
387,410027,Ponta Grossa,PR,637293
388,410028,Telêmaco Borba,PR,188456
389,410029,Irati,PR,155069


